"iso3","Country","Year","Value"
"AFG","Afghanistan",1,19743094060000
"ALB","Albania",1,1634011463333.33
"ANT","Netherlands Antilles",1,0
"ARB","Aruba",1,0
"ARE","United Arab Emirates",1,4296380369722.22
"ARG","Argentina",1,36857469577973.3
"ARM","Armenia",1,1405710670555.56
"ATG","Antigua and Barbuda",1,18834593333.3333
"AUS","Australia",1,26838015021868
"AUT","Austria",1,7195292883148
"AZE","Azerbaijan",1,8124688951666.67
"BDI","Burundi",1,67551786666.6667
"BEL","Belgium",1,14422801684164
"BEN","Benin",1,770797883333.333
"BFA","Burkina Faso",1,808068863333.333
"BGD","Bangladesh",1,18778347281666.7
"BGR","Bulgaria",1,7576939370771.33
"BHR","Bahrain",1,311118370833.333
"BHS","Bahamas",1,46543966666.6667
"BIH","Bosnia and Herzegovina",1,2129322106666.67
"BLR","Belarus",1,8675328539444.44
"BLZ","Belize",1,72284700000
"BMU","Bermuda",1,0
"BOL","Bolivia (Plurinational State of)",1,1013748432500
"BRA","Brazil",1,20329137154305.6
"BRB","Barbados",1,70264786666.6667
"BRN","Brunei Darussalam",1,50916050000
"BTN","Bhutan",1,12132998888.8889
"BWA","Botswana",1,178706093333.333
"CAF","Central African Republic",1,40502035000
"CAN","Canada",1,40958262975137.8
"CHE","Switzerland",1,3710872486666.67
"CHL","Chile",1,7280197265000
"CHN","China (mainland)",1,467702620900761
"CIV","Cote dIvoire",1,1652671626666.67
"CMR","Cameroon",1,1956898296666.67
"COD","Democratic Republic of the Congo",1,1158674491666.67
"COG","Congo",1,624717893333.333
"COK","Cook Islands",1,4443830000
"COL","Colombia",1,6108534310000
"COM","Comoros",1,45731816666.6667
"CPV","Cape Verde",1,79251826666.6667
"CRI","Costa Rica",1,719351041250
"CUB","Cuba",1,2779956086666.67
"CYP","Cyprus",1,503065268644.444
"CZE","Czech Republic",1,10725859085546.7
"DEU","Germany",1,74639527654688.9
"DJI","Djibouti",1,1783636026666.67
"DMA","Dominica",1,9488406666.66667
"DNK","Denmark",1,15239442753300
"DOM","Dominican Republic",1,1783228086666.67
"DZA","Algeria",1,33373499815555.6
"ECU","Ecuador",1,3015709893333.33
"EGY","Egypt",1,57683405307500
"ERI","Eritrea",1,259180636666.667
"ESP","Spain",1,40739163634167.6
"EST","Estonia",1,1019752752985.33
"ETH","Ethiopia",1,18311271793733.3
"FIN","Finland",1,2799355637666.67
"FJI","Fiji",1,503980690000
"FRA","France",1,82807616516568
"FRO","Faroe Islands",1,53099793333.3333
"GAB","Gabon",1,378215066666.667
"GBR","United Kingdom",1,57000492273000
"GEO","Georgia",1,1346967603888.89
"GHA","Ghana",1,2022875470000
"GIN","Guinea",1,1110323940000
"GMB","Gambia",1,223377860000
"GNB","Guinea-Bissau",1,58905070000
"GNQ","Equatorial Guinea",1,103015753333.333
"GRC","Greece",1,7326730576401.33
"GRD","Grenada",1,51826973333.3333
"GRL","Greenland",1,0
"GTM","Guatemala",1,1996288760000
"GUY","Guyana",1,226964716666.667
"HKG","Hong Kong SAR, China",1,1020221278055.56
"HND","Honduras",1,976481186666.667
"HRV","Croatia",1,2336994486852.67
"HTI","Haiti",1,944589490000
"HUN","Hungary",1,11753301983256
"IDN","Indonesia",1,29965030286666.7
"IND","India",1,316468523600671
"IRL","Ireland",1,4704160769018
"IRN","Iran (Islamic Republic of)",1,46759163082777.8
"IRQ","Iraq",1,17512475416111.1
"ISL","Iceland",1,179346173333.333
"ISR","Israel",1,5391722651666.67
"ITA","Italy",1,41522384702755.1
"JAM","Jamaica",1,626187323333.333
"JOR","Jordan",1,3262249960833.33
"JPN","Japan",1,22584586442222.2
"KAZ","Kazakhstan",1,30598292475555.6
"KEN","Kenya",1,4943130179000
"KGZ","Kyrgyzstan",1,3139055190000
"KHM","Cambodia",1,140582983333.333
"KIR","Kiribati",1,15826380000
"KNA","Saint Kitts and Nevis",1,10998153333.3333
"KOR","Republic of Korea",1,13695675098333.3
"KWT","Kuwait",1,1283336900277.78
"LAO","Lao People's Democratic Republic",1,52146376666.6667
"LBN","Lebanon",1,3566810579166.67
"LBR","Liberia",1,231364470000
"LBY","Libya",1,4460442803333.33
"LCA","Saint Lucia",1,45630933333.3333
"LKA","Sri Lanka",1,2551102436666.67
"LSO","Lesotho",1,185904846666.667
"LTU","Lithuania",1,5892146926406
"LUX","Luxembourg",1,385684548269.333
"LVA","Latvia",1,2826502938733.33
"MAC","Macao SAR, China",1,97372415000
"MAR","Morocco",1,33372746040000
"MDA","Republic of Moldova",1,2177088654444.44
"MDG","Madagascar",1,565247880000
"MDV","Maldives",1,97664316666.6667
"MEX","Mexico",1,22428446517500
"MKD","The former Yugoslav Republic of Macedonia",1,1155160160000
"MLI","Mali",1,1110129158888.89
"MLT","Malta",1,200885637278
"MMR","Myanmar",1,1966953496666.67
"MNE","Montenegro",1,309298401666.667
"MNG","Mongolia",1,1183167457777.78
"MOZ","Mozambique",1,1857451263333.33
"MRT","Mauritania",1,1634894473333.33
"MUS","Mauritius",1,466297370000
"MWI","Malawi",1,482924190000
"MYS","Malaysia",1,4343128277777.78
"NAM","Namibia",1,453332253333.333
"NCL","New Caledonia",1,120808326666.667
"NER","Niger",1,288823696666.667
"NGA","Nigeria",1,13838049883333.3
"NIC","Nicaragua",1,471627036666.667
"NLD","Netherlands",1,22118421131807.8
"NOR","Norway",1,2823053158888.89
"NPL","Nepal",1,6224796836111.11
"NZL","New Zealand",1,3071938911666.67
"OMN","Oman",1,914047089166.667
"PAK","Pakistan",1,80276071167630
"PAN","Panama",1,655981773333.333
"PER","Peru",1,6305263882083.33
"PHL","Philippines",1,16964456680000
"PNG","Papua New Guinea",1,808170796666.667
"POL","Poland",1,30447615888633.1
"PRK","Democratic People's Republic of Korea",1,412986595000
"PRT","Portugal",1,5211981482840
"PRY","Paraguay",1,1365166738750
"PSE","Occupied Palestinian Territory",1,332428736666.667
"PYF","French Polynesia",1,79664656666.6667
"QAT","Qatar",1,392455583333.333
"ROU","Romania",1,19986269800494
"RUS","Russian Federation",1,271676728977444
"RWA","Rwanda",1,108914460000
"SAU","Saudi Arabia",1,13501179154722.2
"SDN","Sudan",1,7816992845333.33
"SEN","Senegal",1,1781350343333.33
"SGP","Singapore",1,1126548885555.56
"SLB","Solomon Islands",1,63540763333.3333
"SLE","Sierra Leone",1,189713121666.667
"SLV","El Salvador",1,716333976666.667
"SOM","Somalia",1,1300902456666.67
"SRB","Serbia",1,5949877665000
"SSD","South Sudan",1,103017666666.667
"STP","Sao Tome and Principe",1,34929473333.3333
"SUR","Suriname",1,84392753333.3333
"SVK","Slovakia",1,3944078731518.67
"SVN","Slovenia",1,802427938128
"SWE","Sweden",1,9246067930055.56
"SWZ","Swaziland",1,26408936666.6667
"SYC","Seychelles",1,21203420000
"SYR","Syrian Arab Republic",1,9364328857222.22
"TCD","Chad",1,177637850000
"TGO","Togo",1,541466566666.667
"THA","Thailand",1,11571569700000
"TJK","Tajikistan",1,6056015873333.33
"TKM","Turkmenistan",1,4637370897222.22
"TLS","Timor-Leste",1,76520726666.6667
"TON","Tonga",1,19397543333.3333
"TTO","Trinidad and Tobago",1,416380866666.667
"TUN","Tunisia",1,8958976117500
"TUR","Turkey",1,67767347535833.3
"TUV","Tuvalu",1,2088763333.33333
"TWN","Taiwan",1,4610730650000
"TZA","United Republic of Tanzania",1,2378980126666.67
"UGA","Uganda",1,628212795265.333
"UKR","Ukraine",1,67755820529515.6
"URY","Uruguay",1,2833321335833.33
"USA","United States of America",1,147316945337187
"UZB","Uzbekistan",1,28810688528333.3
"VCT","Saint Vincent and the Grenadines",1,36396155000
"VEN","Venezuela (Bolivarian Republic of)",1,4200537131666.67
"VNM","Viet Nam",1,10863016155000
"VUT","Vanuatu",1,51896430000
"YEM","Yemen",1,9325271448208
"ZAF","South Africa",1,9690915790000
"ZMB","Zambia",1,735327923333.333
"ZWE","Zimbabwe",1,647945060000
